location,zone,tank_id,tank_id_raw,date,period,parameter,value,unit
Block L,Block L,3,3,2025-07-01,morning,temperature,27.8,degC
Block L,Block L,3,3,2025-07-02,afternoon,dissolved_oxygen,6.67,mg/L
Block L,Block L,3,3,2025-07-02,afternoon,temperature,28.3,degC
Block L,Block L,3,3,2025-07-02,morning,dissolved_oxygen,6.8,mg/L
Block L,Block L,3,3,2025-07-02,morning,temperature,27.6,degC
Block L,Block L,3,3,2025-07-03,morning,dissolved_oxygen,7.08,mg/L
Block L,Block L,3,3,2025-07-03,morning,temperature,27.0,degC
Block L,Block L,3,3,2025-07-04,afternoon,dissolved_oxygen,6.95,mg/L
Block L,Block L,3,3,2025-07-04,afternoon,temperature,28.1,degC
Block L,Block L,3,3,2025-07-04,morning,dissolved_oxygen,7.23,mg/L
Block L,Block L,3,3,2025-07-04,morning,temperature,27.2,degC
Block L,Block L,3,3,2025-07-08,afternoon,dissolved_oxygen,6.76,mg/L
Block L,Block L,3,3,2025-07-08,afternoon,temperature,28.0,degC
Block L,Block L,3,3,2025-07-10,afternoon,dissolved_oxygen,6.87,mg/L
Block L,Block L,3,3,2025-07-10,afternoon,temperature,27.9,degC
Block L,Block L,3,3,2025-07-10,morning,dissolved_oxygen,6.75,mg/L
Block L,Block L,3,3,2025-07-10,morning,temperature,27.7,degC
Block L,Block L,3,3,2025-07-11,afternoon,dissolved_oxygen,6.62,mg/L
Block L,Block L,3,3,2025-07-11,afternoon,temperature,30.8,degC
Block L,Block L,3,3,2025-07-11,morning,dissolved_oxygen,6.43,mg/L
Block L,Block L,3,3,2025-07-11,morning,temperature,30.0,degC
Block L,Block L,3,3,2025-07-15,afternoon,dissolved_oxygen,6.82,mg/L
Block L,Block L,3,3,2025-07-15,afternoon,temperature,28.3,degC
Block L,Block L,3,3,2025-07-15,morning,dissolved_oxygen,7.1,mg/L
Block L,Block L,3,3,2025-07-15,morning,temperature,27.4,degC
Block L,Block L,3,3,2025-07-16,afternoon,dissolved_oxygen,7.05,mg/L
Block L,Block L,3,3,2025-07-16,afternoon,temperature,28.2,degC
Block L,Block L,3,3,2025-07-17,afternoon,dissolved_oxygen,6.96,mg/L
Block L,Block L,3,3,2025-07-17,afternoon,temperature,28.6,degC
Block L,Block L,3,3,2025-07-17,morning,dissolved_oxygen,6.87,mg/L
Block L,Block L,3,3,2025-07-17,morning,temperature,27.4,degC
Block L,Block L,3,3,2025-07-18,afternoon,dissolved_oxygen,6.93,mg/L
Block L,Block L,3,3,2025-07-18,afternoon,temperature,28.9,degC
Block L,Block L,3,3,2025-07-18,morning,dissolved_oxygen,7.07,mg/L
Block L,Block L,3,3,2025-07-18,morning,temperature,27.8,degC
Block L,Block L,3,3,2025-07-21,afternoon,dissolved_oxygen,6.99,mg/L
Block L,Block L,3,3,2025-07-21,afternoon,temperature,28.9,degC
Block L,Block L,3,3,2025-07-21,morning,dissolved_oxygen,6.81,mg/L
Block L,Block L,3,3,2025-07-21,morning,temperature,27.6,degC
Block L,Block L,3,3,2025-07-22,afternoon,dissolved_oxygen,6.65,mg/L
Block L,Block L,3,3,2025-07-22,afternoon,temperature,28.6,degC
Block L,Block L,3,3,2025-07-23,afternoon,dissolved_oxygen,6.73,mg/L
Block L,Block L,3,3,2025-07-23,afternoon,temperature,30.2,degC
Block L,Block L,3,3,2025-07-23,morning,dissolved_oxygen,6.92,mg/L
Block L,Block L,3,3,2025-07-23,morning,temperature,27.2,degC
Block L,Block L,3,3,2025-07-24,afternoon,dissolved_oxygen,9.0,mg/L
Block L,Block L,3,3,2025-07-24,afternoon,temperature,29.4,degC
Block L,Block L,3,3,2025-07-24,morning,dissolved_oxygen,9.55,mg/L
Block L,Block L,3,3,2025-07-24,morning,temperature,28.3,degC
Block L,Block L,3,3,2025-07-25,afternoon,dissolved_oxygen,9.14,mg/L
Block L,Block L,3,3,2025-07-25,afternoon,temperature,29.4,degC
Block L,Block L,3,3,2025-07-28,afternoon,dissolved_oxygen,7.06,mg/L
Block L,Block L,3,3,2025-07-28,afternoon,temperature,29.0,degC
Block L,Block L,3,3,2025-07-28,morning,dissolved_oxygen,7.05,mg/L
Block L,Block L,3,3,2025-07-28,morning,temperature,27.6,degC
Block L,Block L,3,3,2025-07-29,afternoon,dissolved_oxygen,6.95,mg/L
Block L,Block L,3,3,2025-07-29,afternoon,temperature,29.2,degC
Block L,Block L,3,3,2025-07-29,morning,dissolved_oxygen,6.97,mg/L
Block L,Block L,3,3,2025-07-29,morning,temperature,27.9,degC
Block L,Block L,3,3,2025-07-30,afternoon,dissolved_oxygen,6.99,mg/L
Block L,Block L,3,3,2025-07-30,afternoon,temperature,29.1,degC
Block L,Block L,4,4,2025-07-01,afternoon,dissolved_oxygen,6.84,mg/L
Block L,Block L,4,4,2025-07-01,afternoon,temperature,28.3,degC
Block L,Block L,4,4,2025-07-01,morning,dissolved_oxygen,6.86,mg/L
Block L,Block L,4,4,2025-07-01,morning,temperature,27.3,degC
Block L,Block L,4,4,2025-07-02,afternoon,dissolved_oxygen,6.63,mg/L
Block L,Block L,4,4,2025-07-02,afternoon,temperature,27.8,degC
Block L,Block L,4,4,2025-07-02,morning,dissolved_oxygen,5.36,mg/L
Block L,Block L,4,4,2025-07-02,morning,temperature,27.6,degC
Block L,Block L,4,4,2025-07-03,morning,dissolved_oxygen,6.98,mg/L
Block L,Block L,4,4,2025-07-03,morning,temperature,26.5,degC
Block L,Block L,4,4,2025-07-04,afternoon,dissolved_oxygen,6.84,mg/L
Block L,Block L,4,4,2025-07-04,afternoon,temperature,27.0,degC
Block L,Block L,4,4,2025-07-04,morning,dissolved_oxygen,6.95,mg/L
Block L,Block L,4,4,2025-07-04,morning,temperature,26.7,degC
Block L,Block L,4,4,2025-07-08,afternoon,dissolved_oxygen,6.53,mg/L
Block L,Block L,4,4,2025-07-08,afternoon,temperature,27.6,degC
Block L,Block L,4,4,2025-07-10,afternoon,dissolved_oxygen,6.82,mg/L
Block L,Block L,4,4,2025-07-10,afternoon,temperature,27.6,degC
Block L,Block L,4,4,2025-07-10,morning,dissolved_oxygen,6.5,mg/L
Block L,Block L,4,4,2025-07-10,morning,temperature,27.5,degC
Block L,Block L,4,4,2025-07-11,afternoon,dissolved_oxygen,6.1,mg/L
Block L,Block L,4,4,2025-07-11,afternoon,temperature,31.0,degC
Block L,Block L,4,4,2025-07-15,afternoon,dissolved_oxygen,6.62,mg/L
Block L,Block L,4,4,2025-07-15,afternoon,temperature,28.4,degC
Block L,Block L,4,4,2025-07-15,morning,dissolved_oxygen,6.39,mg/L
Block L,Block L,4,4,2025-07-15,morning,temperature,27.4,degC
Block L,Block L,4,4,2025-07-16,afternoon,dissolved_oxygen,6.88,mg/L
Block L,Block L,4,4,2025-07-16,afternoon,temperature,28.2,degC
Block L,Block L,4,4,2025-07-17,afternoon,dissolved_oxygen,6.19,mg/L
Block L,Block L,4,4,2025-07-17,afternoon,temperature,28.9,degC
Block L,Block L,4,4,2025-07-17,morning,dissolved_oxygen,6.4,mg/L
Block L,Block L,4,4,2025-07-17,morning,temperature,27.6,degC
Block L,Block L,4,4,2025-07-18,afternoon,dissolved_oxygen,6.5,mg/L
Block L,Block L,4,4,2025-07-18,afternoon,temperature,29.0,degC
Block L,Block L,4,4,2025-07-18,morning,dissolved_oxygen,6.62,mg/L
Block L,Block L,4,4,2025-07-18,morning,temperature,27.8,degC
Block L,Block L,4,4,2025-07-21,afternoon,dissolved_oxygen,6.65,mg/L
Block L,Block L,4,4,2025-07-21,afternoon,temperature,28.8,degC
Block L,Block L,4,4,2025-07-21,morning,dissolved_oxygen,6.68,mg/L
Block L,Block L,4,4,2025-07-21,morning,temperature,27.6,degC
Block L,Block L,4,4,2025-07-22,afternoon,dissolved_oxygen,6.72,mg/L
Block L,Block L,4,4,2025-07-22,afternoon,temperature,28.4,degC
Block L,Block L,4,4,2025-07-23,afternoon,dissolved_oxygen,6.46,mg/L
Block L,Block L,4,4,2025-07-23,afternoon,temperature,29.7,degC
Block L,Block L,4,4,2025-07-23,morning,dissolved_oxygen,6.07,mg/L
Block L,Block L,4,4,2025-07-23,morning,temperature,27.3,degC
Block L,Block L,4,4,2025-07-24,afternoon,dissolved_oxygen,8.63,mg/L
Block L,Block L,4,4,2025-07-24,afternoon,temperature,29.7,degC
Block L,Block L,4,4,2025-07-24,morning,dissolved_oxygen,8.74,mg/L
Block L,Block L,4,4,2025-07-24,morning,temperature,28.3,degC
Block L,Block L,4,4,2025-07-25,afternoon,dissolved_oxygen,9.18,mg/L
Block L,Block L,4,4,2025-07-25,afternoon,temperature,29.5,degC
Block L,Block L,4,4,2025-07-28,afternoon,dissolved_oxygen,6.72,mg/L
Block L,Block L,4,4,2025-07-28,afternoon,temperature,29.0,degC
Block L,Block L,4,4,2025-07-28,morning,dissolved_oxygen,6.3,mg/L
Block L,Block L,4,4,2025-07-28,morning,temperature,27.6,degC
Block L,Block L,4,4,2025-07-29,afternoon,dissolved_oxygen,6.7,mg/L
Block L,Block L,4,4,2025-07-29,afternoon,temperature,29.2,degC
Block L,Block L,4,4,2025-07-29,morning,dissolved_oxygen,6.66,mg/L
Block L,Block L,4,4,2025-07-29,morning,temperature,28.0,degC
Block L,Block L,4,4,2025-07-30,afternoon,dissolved_oxygen,5.44,mg/L
Block L,Block L,4,4,2025-07-30,afternoon,temperature,29.4,degC
Block L,Block L,5,5,2025-07-01,afternoon,dissolved_oxygen,7.14,mg/L
Block L,Block L,5,5,2025-07-01,afternoon,temperature,28.6,degC
Block L,Block L,5,5,2025-07-01,morning,ammonia,1.45,mg/L
Block L,Block L,5,5,2025-07-01,morning,dissolved_oxygen,7.12,mg/L
Block L,Block L,5,5,2025-07-01,morning,nitrate,1.9,mg/L
Block L,Block L,5,5,2025-07-01,morning,nitrite,0.133,mg/L
Block L,Block L,5,5,2025-07-01,morning,ph,6.73,pH
Block L,Block L,5,5,2025-07-01,morning,temperature,27.6,degC
Block L,Block L,5,5,2025-07-02,afternoon,dissolved_oxygen,6.47,mg/L
Block L,Block L,5,5,2025-07-02,afternoon,temperature,28.3,degC
Block L,Block L,5,5,2025-07-02,morning,dissolved_oxygen,7.18,mg/L
Block L,Block L,5,5,2025-07-02,morning,temperature,27.6,degC
Block L,Block L,5,5,2025-07-03,morning,dissolved_oxygen,7.35,mg/L
Block L,Block L,5,5,2025-07-03,morning,temperature,26.9,degC
Block L,Block L,5,5,2025-07-04,afternoon,dissolved_oxygen,7.28,mg/L
Block L,Block L,5,5,2025-07-04,afternoon,temperature,28.1,degC
Block L,Block L,5,5,2025-07-04,morning,ammonia,1.19,mg/L
Block L,Block L,5,5,2025-07-04,morning,dissolved_oxygen,7.31,mg/L
Block L,Block L,5,5,2025-07-04,morning,nitrate,3.5,mg/L
Block L,Block L,5,5,2025-07-04,morning,nitrite,0.42,mg/L
Block L,Block L,5,5,2025-07-04,morning,ph,6.82,pH
Block L,Block L,5,5,2025-07-04,morning,temperature,27.0,degC
Block L,Block L,5,5,2025-07-07,morning,ammonia,1.25,mg/L
Block L,Block L,5,5,2025-07-07,morning,nitrate,3.1,mg/L
Block L,Block L,5,5,2025-07-07,morning,ph,6.67,pH
Block L,Block L,5,5,2025-07-08,afternoon,dissolved_oxygen,7.08,mg/L
Block L,Block L,5,5,2025-07-08,afternoon,temperature,28.1,degC
Block L,Block L,5,5,2025-07-10,afternoon,dissolved_oxygen,7.31,mg/L
Block L,Block L,5,5,2025-07-10,afternoon,temperature,27.6,degC
Block L,Block L,5,5,2025-07-10,morning,dissolved_oxygen,7.16,mg/L
Block L,Block L,5,5,2025-07-10,morning,temperature,27.5,degC
Block L,Block L,5,5,2025-07-11,afternoon,dissolved_oxygen,6.43,mg/L
Block L,Block L,5,5,2025-07-11,afternoon,temperature,30.9,degC
Block L,Block L,5,5,2025-07-11,morning,ammonia,3.8,mg/L
Block L,Block L,5,5,2025-07-11,morning,nitrate,3.5,mg/L
Block L,Block L,5,5,2025-07-11,morning,nitrite,2.55,mg/L
Block L,Block L,5,5,2025-07-11,morning,ph,6.39,pH
Block L,Block L,5,5,2025-07-15,afternoon,dissolved_oxygen,6.71,mg/L
Block L,Block L,5,5,2025-07-15,afternoon,temperature,28.5,degC
Block L,Block L,5,5,2025-07-15,morning,dissolved_oxygen,6.64,mg/L
Block L,Block L,5,5,2025-07-15,morning,temperature,27.4,degC
Block L,Block L,5,5,2025-07-16,afternoon,dissolved_oxygen,7.23,mg/L
Block L,Block L,5,5,2025-07-16,afternoon,temperature,28.2,degC
Block L,Block L,5,5,2025-07-17,afternoon,dissolved_oxygen,6.87,mg/L
Block L,Block L,5,5,2025-07-17,afternoon,temperature,28.8,degC
Block L,Block L,5,5,2025-07-17,morning,dissolved_oxygen,6.77,mg/L
Block L,Block L,5,5,2025-07-17,morning,temperature,27.5,degC
Block L,Block L,5,5,2025-07-18,afternoon,dissolved_oxygen,6.81,mg/L
Block L,Block L,5,5,2025-07-18,afternoon,temperature,29.1,degC
Block L,Block L,5,5,2025-07-18,morning,dissolved_oxygen,6.98,mg/L
Block L,Block L,5,5,2025-07-18,morning,temperature,27.9,degC
Block L,Block L,5,5,2025-07-21,afternoon,dissolved_oxygen,6.91,mg/L
Block L,Block L,5,5,2025-07-21,afternoon,temperature,29.0,degC
Block L,Block L,5,5,2025-07-21,morning,dissolved_oxygen,6.86,mg/L
Block L,Block L,5,5,2025-07-21,morning,temperature,27.6,degC
Block L,Block L,5,5,2025-07-22,afternoon,dissolved_oxygen,6.7,mg/L
Block L,Block L,5,5,2025-07-22,afternoon,temperature,28.5,degC
Block L,Block L,5,5,2025-07-23,afternoon,dissolved_oxygen,6.57,mg/L
Block L,Block L,5,5,2025-07-23,afternoon,temperature,30.4,degC
Block L,Block L,5,5,2025-07-23,morning,dissolved_oxygen,6.4,mg/L
Block L,Block L,5,5,2025-07-23,morning,temperature,27.4,degC
Block L,Block L,5,5,2025-07-24,afternoon,dissolved_oxygen,9.04,mg/L
Block L,Block L,5,5,2025-07-24,afternoon,temperature,29.8,degC
Block L,Block L,5,5,2025-07-24,morning,dissolved_oxygen,9.12,mg/L
Block L,Block L,5,5,2025-07-24,morning,temperature,28.8,degC
Block L,Block L,5,5,2025-07-25,afternoon,dissolved_oxygen,9.29,mg/L
Block L,Block L,5,5,2025-07-25,afternoon,temperature,29.6,degC
Block L,Block L,5,5,2025-07-28,afternoon,dissolved_oxygen,6.9,mg/L
Block L,Block L,5,5,2025-07-28,afternoon,temperature,29.3,degC
Block L,Block L,5,5,2025-07-28,morning,dissolved_oxygen,6.66,mg/L
Block L,Block L,5,5,2025-07-28,morning,temperature,27.8,degC
Block L,Block L,5,5,2025-07-29,afternoon,dissolved_oxygen,6.19,mg/L
Block L,Block L,5,5,2025-07-29,afternoon,temperature,29.3,degC
Block L,Block L,5,5,2025-07-29,morning,dissolved_oxygen,6.82,mg/L
Block L,Block L,5,5,2025-07-29,morning,temperature,28.3,degC
Block L,Block L,5,5,2025-07-30,afternoon,dissolved_oxygen,4.09,mg/L
Block L,Block L,5,5,2025-07-30,afternoon,temperature,29.6,degC
Block L,Block L,6,6,2025-07-04,afternoon,dissolved_oxygen,5.23,mg/L
Block L,Block L,6,6,2025-07-04,afternoon,temperature,28.4,degC
Block L,Block L,6,6,2025-07-15,afternoon,dissolved_oxygen,6.34,mg/L
Block L,Block L,6,6,2025-07-15,afternoon,temperature,28.1,degC
Block L,Block L,6,6,2025-07-15,morning,dissolved_oxygen,6.43,mg/L
Block L,Block L,6,6,2025-07-15,morning,temperature,27.2,degC
Block L,Block L,6,6,2025-07-16,afternoon,dissolved_oxygen,6.27,mg/L
Block L,Block L,6,6,2025-07-16,afternoon,temperature,28.1,degC
Block L,Block L,6,6,2025-07-17,afternoon,dissolved_oxygen,6.0,mg/L
Block L,Block L,6,6,2025-07-17,afternoon,temperature,28.5,degC
Block L,Block L,6,6,2025-07-17,morning,dissolved_oxygen,6.29,mg/L
Block L,Block L,6,6,2025-07-17,morning,temperature,27.6,degC
Block L,Block L,6,6,2025-07-18,afternoon,dissolved_oxygen,5.99,mg/L
Block L,Block L,6,6,2025-07-18,afternoon,temperature,28.9,degC
Block L,Block L,6,6,2025-07-18,morning,dissolved_oxygen,6.34,mg/L
Block L,Block L,6,6,2025-07-18,morning,temperature,27.9,degC
Block L,Block L,6,6,2025-07-21,afternoon,dissolved_oxygen,5.97,mg/L
Block L,Block L,6,6,2025-07-21,afternoon,temperature,28.8,degC
Block L,Block L,6,6,2025-07-21,morning,dissolved_oxygen,6.33,mg/L
Block L,Block L,6,6,2025-07-21,morning,temperature,27.7,degC
Block L,Block L,6,6,2025-07-22,afternoon,dissolved_oxygen,6.11,mg/L
Block L,Block L,6,6,2025-07-22,afternoon,temperature,28.4,degC
Block L,Block L,6,6,2025-07-23,afternoon,dissolved_oxygen,5.52,mg/L
Block L,Block L,6,6,2025-07-23,afternoon,temperature,30.6,degC
Block L,Block L,6,6,2025-07-23,morning,dissolved_oxygen,5.71,mg/L
Block L,Block L,6,6,2025-07-23,morning,temperature,27.1,degC
Block L,Block L,6,6,2025-07-24,afternoon,dissolved_oxygen,7.52,mg/L
Block L,Block L,6,6,2025-07-24,afternoon,temperature,29.6,degC
Block L,Block L,6,6,2025-07-24,morning,dissolved_oxygen,7.41,mg/L
Block L,Block L,6,6,2025-07-24,morning,temperature,28.8,degC
Block L,Block L,6,6,2025-07-25,afternoon,dissolved_oxygen,7.93,mg/L
Block L,Block L,6,6,2025-07-25,afternoon,temperature,29.6,degC
Block L,Block L,6,6,2025-07-28,afternoon,dissolved_oxygen,5.7,mg/L
Block L,Block L,6,6,2025-07-28,afternoon,temperature,29.2,degC
Block L,Block L,6,6,2025-07-28,morning,ammonia,2.4,mg/L
Block L,Block L,6,6,2025-07-28,morning,dissolved_oxygen,5.55,mg/L
Block L,Block L,6,6,2025-07-28,morning,ph,7.26,pH
Block L,Block L,6,6,2025-07-28,morning,temperature,27.8,degC
Block L,Block L,6,6,2025-07-29,afternoon,dissolved_oxygen,5.76,mg/L
Block L,Block L,6,6,2025-07-29,afternoon,temperature,29.1,degC
Block L,Block L,6,6,2025-07-29,morning,dissolved_oxygen,5.81,mg/L
Block L,Block L,6,6,2025-07-29,morning,temperature,28.3,degC
Block L,Block L,6,6,2025-07-30,afternoon,dissolved_oxygen,6.66,mg/L
Block L,Block L,6,6,2025-07-30,afternoon,temperature,29.3,degC
Block L,Block L,7,7,2025-07-16,afternoon,dissolved_oxygen,6.37,mg/L
