location,zone,tank_id,tank_id_raw,date,period,dissolved_oxygen,temperature,ph,ammonia,nitrate,nitrite,remarks
Block L,Block L,4,4,2025-07-10,afternoon,6.82,27.6,,,,,
Block L,Block L,4,4,2025-07-10,morning,6.5,27.5,,,,,
Block L,Block L,4,4,2025-07-11,afternoon,6.1,31.0,,,,,
Block L,Block L,4,4,2025-07-15,afternoon,6.62,28.4,,,,,
Block L,Block L,4,4,2025-07-15,morning,6.39,27.4,,,,,
Block L,Block L,4,4,2025-07-16,afternoon,6.88,28.2,,,,,
Block L,Block L,4,4,2025-07-17,afternoon,6.19,28.9,,,,,
Block L,Block L,4,4,2025-07-17,morning,6.4,27.6,,,,,
Block L,Block L,4,4,2025-07-18,afternoon,6.5,29.0,,,,,
Block L,Block L,4,4,2025-07-18,morning,6.62,27.8,,,,,
Block L,Block L,4,4,2025-07-21,afternoon,6.65,28.8,,,,,
Block L,Block L,4,4,2025-07-21,morning,6.68,27.6,,,,,
Block L,Block L,4,4,2025-07-22,afternoon,6.72,28.4,,,,,
Block L,Block L,4,4,2025-07-23,afternoon,6.46,29.7,,,,,
Block L,Block L,4,4,2025-07-23,morning,6.07,27.3,,,,,
Block L,Block L,4,4,2025-07-24,afternoon,8.63,29.7,,,,,
Block L,Block L,4,4,2025-07-24,morning,8.74,28.3,,,,,
Block L,Block L,4,4,2025-07-25,afternoon,9.18,29.5,,,,,
Block L,Block L,4,4,2025-07-28,afternoon,6.72,29.0,,,,,
Block L,Block L,4,4,2025-07-28,morning,6.3,27.6,,,,,
Block L,Block L,4,4,2025-07-29,afternoon,6.7,29.2,,,,,
Block L,Block L,4,4,2025-07-29,morning,6.66,28.0,,,,,
Block L,Block L,4,4,2025-07-30,afternoon,5.44,29.4,,,,,
Block L,Block L,5,5,2025-07-01,afternoon,7.14,28.6,,,,,
Block L,Block L,5,5,2025-07-01,morning,7.12,27.6,6.73,1.45,1.9,0.133,
Block L,Block L,5,5,2025-07-02,afternoon,6.47,28.3,,,,,
Block L,Block L,5,5,2025-07-02,morning,7.18,27.6,,,,,
Block L,Block L,5,5,2025-07-03,morning,7.35,26.9,,,,,
Block L,Block L,5,5,2025-07-04,afternoon,7.28,28.1,,,,,
Block L,Block L,5,5,2025-07-04,morning,7.31,27.0,6.82,1.19,3.5,0.42,
Block L,Block L,5,5,2025-07-07,morning,,,6.67,1.25,3.1,,
Block L,Block L,5,5,2025-07-08,afternoon,7.08,28.1,,,,,
Block L,Block L,5,5,2025-07-10,afternoon,7.31,27.6,,,,,
Block L,Block L,5,5,2025-07-10,morning,7.16,27.5,,,,,
Block L,Block L,5,5,2025-07-11,afternoon,6.43,30.9,,,,,
Block L,Block L,5,5,2025-07-11,morning,,,6.39,3.8,3.5,2.55,
Block L,Block L,5,5,2025-07-15,afternoon,6.71,28.5,,,,,
Block L,Block L,5,5,2025-07-15,morning,6.64,27.4,,,,,
Block L,Block L,5,5,2025-07-16,afternoon,7.23,28.2,,,,,
Block L,Block L,5,5,2025-07-17,afternoon,6.87,28.8,,,,,
Block L,Block L,5,5,2025-07-17,morning,6.77,27.5,,,,,
Block L,Block L,5,5,2025-07-18,afternoon,6.81,29.1,,,,,
Block L,Block L,5,5,2025-07-18,morning,6.98,27.9,,,,,
Block L,Block L,5,5,2025-07-21,afternoon,6.91,29.0,,,,,
Block L,Block L,5,5,2025-07-21,morning,6.86,27.6,,,,,
Block L,Block L,5,5,2025-07-22,afternoon,6.7,28.5,,,,,
Block L,Block L,5,5,2025-07-23,afternoon,6.57,30.4,,,,,
Block L,Block L,5,5,2025-07-23,morning,6.4,27.4,,,,,
Block L,Block L,5,5,2025-07-24,afternoon,9.04,29.8,,,,,
Block L,Block L,5,5,2025-07-24,morning,9.12,28.8,,,,,
Block L,Block L,5,5,2025-07-25,afternoon,9.29,29.6,,,,,
Block L,Block L,5,5,2025-07-28,afternoon,6.9,29.3,,,,,
Block L,Block L,5,5,2025-07-28,morning,6.66,27.8,,,,,
Block L,Block L,5,5,2025-07-29,afternoon,6.19,29.3,,,,,
Block L,Block L,5,5,2025-07-29,morning,6.82,28.3,,,,,
Block L,Block L,5,5,2025-07-30,afternoon,4.09,29.6,,,,,
Block L,Block L,6,6,2025-07-04,afternoon,5.23,28.4,,,,,
Block L,Block L,6,6,2025-07-15,afternoon,6.34,28.1,,,,,
Block L,Block L,6,6,2025-07-15,morning,6.43,27.2,,,,,
Block L,Block L,6,6,2025-07-16,afternoon,6.27,28.1,,,,,
Block L,Block L,6,6,2025-07-17,afternoon,6.0,28.5,,,,,
Block L,Block L,6,6,2025-07-17,morning,6.29,27.6,,,,,
Block L,Block L,6,6,2025-07-18,afternoon,5.99,28.9,,,,,
Block L,Block L,6,6,2025-07-18,morning,6.34,27.9,,,,,
Block L,Block L,6,6,2025-07-21,afternoon,5.97,28.8,,,,,
Block L,Block L,6,6,2025-07-21,morning,6.33,27.7,,,,,
Block L,Block L,6,6,2025-07-22,afternoon,6.11,28.4,,,,,
Block L,Block L,6,6,2025-07-23,afternoon,5.52,30.6,,,,,
Block L,Block L,6,6,2025-07-23,morning,5.71,27.1,,,,,
Block L,Block L,6,6,2025-07-24,afternoon,7.52,29.6,,,,,
Block L,Block L,6,6,2025-07-24,morning,7.41,28.8,,,,,
Block L,Block L,6,6,2025-07-25,afternoon,7.93,29.6,,,,,
Block L,Block L,6,6,2025-07-28,afternoon,5.7,29.2,,,,,
Block L,Block L,6,6,2025-07-28,morning,5.55,27.8,7.26,2.4,,,
Block L,Block L,6,6,2025-07-29,afternoon,5.76,29.1,,,,,
Block L,Block L,6,6,2025-07-29,morning,5.81,28.3,,,,,
Block L,Block L,6,6,2025-07-30,afternoon,6.66,29.3,,,,,
Block L,Block L,7,7,2025-07-16,afternoon,6.37,29.2,,,,,
Block L,Block L,7,7,2025-07-17,afternoon,5.49,29.6,,,,,
Block L,Block L,7,7,2025-07-17,morning,6.02,28.2,,,,,
Block L,Block L,7,7,2025-07-18,afternoon,6.07,30.0,,,,,
Block L,Block L,7,7,2025-07-18,morning,5.42,28.6,,,,,
Block L,Block L,7,7,2025-07-21,afternoon,6.71,29.9,,,,,
Block L,Block L,7,7,2025-07-21,morning,5.67,28.2,,,,,
Block L,Block L,7,7,2025-07-22,afternoon,6.2,29.2,,,,,
Block L,Block L,7,7,2025-07-23,afternoon,5.7,29.9,,,,,
Block L,Block L,7,7,2025-07-23,morning,5.36,27.1,,,,,
Block L,Block L,7,7,2025-07-24,afternoon,6.15,30.5,,,,,
Block L,Block L,7,7,2025-07-24,morning,7.52,28.9,,,,,
Block L,Block L,7,7,2025-07-25,afternoon,7.71,30.6,,,,,
Block L,Block L,7,7,2025-07-28,afternoon,6.33,30.4,,,,,
Block L,Block L,7,7,2025-07-28,morning,5.18,28.3,,,,,
Block L,Block L,7,7,2025-07-29,afternoon,6.28,30.5,,,,,
Block L,Block L,7,7,2025-07-29,morning,5.57,28.8,,,,,
Block L,Block L,7,7,2025-07-30,afternoon,5.36,29.8,,,,,
Block L,Block L,8,8,2025-07-08,afternoon,6.65,28.8,,,,,
Block L,Block L,8,8,2025-07-10,afternoon,6.38,27.4,,,,,
Block L,Block L,8,8,2025-07-10,morning,6.3,27.4,,,,,
Block L,Block L,8,8,2025-07-11,afternoon,6.1,27.6,,,,,
Block L,Block L,8,8,2025-07-11,morning,6.28,26.8,,,,,
Block L,Block L,8,8,2025-07-15,afternoon,5.23,27.4,,,,,
Block L,Block L,8,8,2025-07-15,morning,5.22,27.0,,,,,
Block L,Block L,8,8,2025-07-16,afternoon,5.59,27.5,,,,,
Block L,Block L,8,8,2025-07-17,afternoon,5.47,27.8,,,,,
Block L,Block L,8,8,2025-07-17,morning,5.54,27.2,,,,,
Block L,Block L,8,8,2025-07-18,afternoon,5.25,31.4,,,,,
Block L,Block L,8,8,2025-07-18,morning,5.01,27.4,,,,,
Block L,Block L,8,8,2025-07-21,afternoon,6.0,28.0,,,,,
Block L,Block L,8,8,2025-07-21,morning,6.41,27.3,,,,,
Block L,Block L,8,8,2025-07-22,afternoon,4.27,28.1,,,,,
Block L,Block L,8,8,2025-07-23,afternoon,6.35,28.1,,,,,
Block L,Block L,8,8,2025-07-23,morning,5.56,27.2,,,,,
Block L,Block L,8,8,2025-07-24,afternoon,7.09,28.2,,,,,
Block L,Block L,8,8,2025-07-24,morning,7.83,27.4,,,,,
Block L,Block L,8,8,2025-07-25,afternoon,8.03,29.4,,,,,
Block L,Block L,8,8,2025-07-28,afternoon,5.81,31.3,,,,,
Block L,Block L,8,8,2025-07-28,morning,5.85,27.6,,,,,
Block L,Block L,8,8,2025-07-29,afternoon,5.57,29.5,,,,,
Block L,Block L,8,8,2025-07-29,morning,5.72,28.8,,,,,
Block L,Block L,8,8,2025-07-30,afternoon,6.33,29.4,,,,,
Block L,Block L,9,9,2025-07-08,afternoon,6.91,28.6,,,,,
Block L,Block L,9,9,2025-07-10,afternoon,6.63,27.3,,,,,
Block L,Block L,9,9,2025-07-10,morning,6.36,27.3,,,,,
Block L,Block L,9,9,2025-07-11,afternoon,6.13,27.9,,,,,
Block L,Block L,9,9,2025-07-11,morning,7.06,26.8,,,,,
Block L,Block L,9,9,2025-07-15,afternoon,5.48,27.4,,,,,
Block L,Block L,9,9,2025-07-15,morning,5.51,27.0,,,,,
Block L,Block L,9,9,2025-07-16,afternoon,5.71,27.4,,,,,
Block L,Block L,9,9,2025-07-17,afternoon,5.51,27.7,,,,,
Block L,Block L,9,9,2025-07-17,morning,5.8,27.2,,,,,
Block L,Block L,9,9,2025-07-18,afternoon,4.8,31.4,,,,,
Block L,Block L,9,9,2025-07-18,morning,5.01,27.4,,,,,
Block L,Block L,9,9,2025-07-21,afternoon,5.24,27.9,,,,,
Block L,Block L,9,9,2025-07-21,morning,6.22,27.3,,,,,
Block L,Block L,9,9,2025-07-22,afternoon,4.69,27.8,,,,,
Block L,Block L,9,9,2025-07-23,afternoon,5.14,27.8,,,,,
Block L,Block L,9,9,2025-07-23,morning,6.48,27.5,,,,,
Block L,Block L,9,9,2025-07-24,afternoon,7.13,28.1,,,,,
Block L,Block L,9,9,2025-07-24,morning,7.74,27.4,,,,,
Block L,Block L,9,9,2025-07-25,afternoon,7.98,29.0,,,,,
Block L,Block L,9,9,2025-07-28,afternoon,6.63,31.0,,,,,
Block L,Block L,9,9,2025-07-28,morning,6.13,27.5,6.94,2.44,,,
Block L,Block L,9,9,2025-07-29,afternoon,6.77,29.0,,,,,
Block L,Block L,9,9,2025-07-29,morning,6.67,28.6,,,,,
Block L,Block L,9,9,2025-07-30,afternoon,4.99,29.6,,,,,
Block L,Block L,10,10,2025-07-08,afternoon,6.14,28.8,,,,,
Block L,Block L,10,10,2025-07-10,afternoon,6.25,27.5,,,,,
Block L,Block L,10,10,2025-07-10,morning,6.35,27.5,,,,,
Block L,Block L,10,10,2025-07-11,afternoon,6.41,28.1,,,,,
Block L,Block L,10,10,2025-07-11,morning,6.8,27.0,,,,,
Block L,Block L,10,10,2025-07-15,afternoon,5.87,28.0,,,,,
Block L,Block L,10,10,2025-07-15,morning,5.8,27.2,,,,,
Block L,Block L,10,10,2025-07-16,afternoon,6.08,27.7,,,,,
Block L,Block L,10,10,2025-07-17,afternoon,5.76,28.4,,,,,
Block L,Block L,10,10,2025-07-17,morning,6.21,27.4,,,,,
Block L,Block L,10,10,2025-07-18,afternoon,5.45,31.4,,,,,
Block L,Block L,10,10,2025-07-18,morning,5.67,27.5,,,,,
Block L,Block L,10,10,2025-07-21,afternoon,6.14,28.6,,,,,
Block L,Block L,10,10,2025-07-21,morning,6.74,27.5,,,,,
Block L,Block L,10,10,2025-07-22,afternoon,5.75,28.3,,,,,
Block L,Block L,10,10,2025-07-23,afternoon,5.34,29.3,,,,,
Block L,Block L,10,10,2025-07-23,morning,6.27,27.3,,,,,
Block L,Block L,10,10,2025-07-24,afternoon,8.04,28.5,,,,,
Block L,Block L,10,10,2025-07-24,morning,8.27,27.4,,,,,
Block L,Block L,10,10,2025-07-25,afternoon,8.24,29.2,,,,,
Block L,Block L,10,10,2025-07-28,afternoon,6.24,30.9,,,,,
Block L,Block L,10,10,2025-07-28,morning,6.16,27.6,,,,,
Block L,Block L,10,10,2025-07-29,afternoon,5.9,29.4,,,,,
Block L,Block L,10,10,2025-07-29,morning,6.02,28.7,,,,,
Block L,Block L,10,10,2025-07-30,afternoon,4.36,29.7,,,,,
Block L,Block L,11,11,2025-07-01,afternoon,5.7,29.7,,,,,
Block L,Block L,11,11,2025-07-01,morning,6.31,27.4,6.74,1.65,1.4,0.028,
Block L,Block L,11,11,2025-07-02,afternoon,5.18,28.6,,,,,
Block L,Block L,11,11,2025-07-02,morning,5.78,27.8,,,,,
Block L,Block L,11,11,2025-07-03,morning,4.84,27.0,,,,,
Block L,Block L,11,11,2025-07-04,afternoon,4.54,28.3,,,,,
Block L,Block L,11,11,2025-07-04,morning,4.75,27.1,,,,,
Block L,Block L,11,11,2025-07-07,morning,,,6.54,4.1,1.7,0.034,
Block L,Block L,11,11,2025-07-08,afternoon,5.72,27.8,,,,,
Block L,Block L,11,11,2025-07-10,afternoon,5.77,28.3,,,,,
Block L,Block L,11,11,2025-07-10,morning,6.1,28.2,,,,,
Block L,Block L,11,11,2025-07-11,afternoon,5.56,28.6,,,,,
Block L,Block L,11,11,2025-07-11,morning,5.86,27.2,6.53,2.64,0.8,0.092,
Block L,Block L,11,11,2025-07-15,afternoon,5.3,28.4,,,,,
Block L,Block L,11,11,2025-07-15,morning,5.12,27.6,6.97,0.4,2.6,0.415,
Block L,Block L,11,11,2025-07-16,afternoon,5.13,28.3,,,,,
Block L,Block L,11,11,2025-07-17,afternoon,6.0,29.6,,,,,
Block L,Block L,11,11,2025-07-17,morning,5.36,28.7,,,,,
Block L,Block L,11,11,2025-07-18,afternoon,6.1,29.0,,,,,
Block L,Block L,11,11,2025-07-18,morning,6.42,28.0,,,,,
Block L,Block L,11,11,2025-07-21,afternoon,6.42,28.7,,,,,
Block L,Block L,11,11,2025-07-21,morning,7.22,27.4,,,,,
Block L,Block L,11,11,2025-07-22,afternoon,6.39,28.4,,,,,
Block L,Block L,11,11,2025-07-23,afternoon,6.21,31.4,,,,,
Block L,Block L,11,11,2025-07-23,morning,6.76,27.3,,,,,
Block L,Block L,11,11,2025-07-24,afternoon,8.82,28.8,,,,,
Block L,Block L,11,11,2025-07-24,morning,8.63,27.5,,,,,
Block L,Block L,11,11,2025-07-25,afternoon,7.79,29.9,,,,,
Block L,Block L,11,11,2025-07-28,afternoon,6.47,28.9,,,,,
Block L,Block L,11,11,2025-07-28,morning,6.25,27.6,6.89,0.14,,,
Block L,Block L,11,11,2025-07-29,afternoon,5.81,29.0,,,,,
Block L,Block L,11,11,2025-07-29,morning,6.13,27.9,,,,,
Block L,Block L,11,11,2025-07-30,afternoon,6.47,29.1,,,,,
Block L,Block L,12,12,2025-07-01,afternoon,6.5,29.8,,,,,
Block L,Block L,12,12,2025-07-01,morning,7.09,27.5,6.63,2.7,1.9,0.019,
Block L,Block L,12,12,2025-07-02,afternoon,5.19,28.5,,,,,
Block L,Block L,12,12,2025-07-02,morning,6.58,27.8,,,,,
Block L,Block L,12,12,2025-07-03,morning,6.64,26.8,,,,,
Block L,Block L,12,12,2025-07-04,afternoon,5.98,28.1,,,,,
Block L,Block L,12,12,2025-07-04,morning,6.38,26.9,,,,,
Block L,Block L,12,12,2025-07-07,morning,,,6.71,1.22,1.1,0.047,
Block L,Block L,12,12,2025-07-08,afternoon,6.43,27.9,,,,,
Block L,Block L,12,12,2025-07-10,afternoon,6.59,28.2,,,,,
Block L,Block L,12,12,2025-07-10,morning,6.14,28.2,,,,,
Block L,Block L,12,12,2025-07-11,afternoon,6.0,28.5,,,,,
Block L,Block L,12,12,2025-07-11,morning,6.54,27.3,6.62,0.91,1.0,0.096,
Block L,Block L,12,12,2025-07-15,afternoon,6.49,28.4,,,,,
Block L,Block L,12,12,2025-07-15,morning,6.55,27.5,7.01,0.9,1.3,0.253,
Block L,Block L,12,12,2025-07-16,afternoon,6.62,28.3,,,,,
Block L,Block L,12,12,2025-07-17,afternoon,5.86,29.5,,,,,
Block L,Block L,12,12,2025-07-17,morning,6.23,28.7,,,,,
Block L,Block L,12,12,2025-07-18,afternoon,6.31,29.0,,,,,
Block L,Block L,12,12,2025-07-18,morning,6.35,28.1,,,,,
Block L,Block L,12,12,2025-07-21,afternoon,6.7,28.7,,,,,
Block L,Block L,12,12,2025-07-21,morning,6.82,27.4,,,,,
Block L,Block L,12,12,2025-07-22,afternoon,6.16,28.5,,,,,
Block L,Block L,12,12,2025-07-23,afternoon,6.23,31.3,,,,,
Block L,Block L,12,12,2025-07-23,morning,6.33,27.2,,,,,
Block L,Block L,12,12,2025-07-24,afternoon,8.8,28.7,,,,,
Block L,Block L,12,12,2025-07-24,morning,9.21,27.4,,,,,
Block L,Block L,12,12,2025-07-25,afternoon,8.01,29.9,,,,,
Block L,Block L,12,12,2025-07-28,afternoon,6.82,29.0,,,,,
Block L,Block L,12,12,2025-07-28,morning,6.4,27.5,6.85,0.38,,,
Block L,Block L,12,12,2025-07-29,afternoon,6.25,29.0,,,,,
Block L,Block L,12,12,2025-07-29,morning,6.34,27.8,,,,,
Block L,Block L,12,12,2025-07-30,afternoon,5.55,29.4,,,,,
Block L,Block L,13,13,2025-07-01,afternoon,6.12,29.6,,,,,
Block L,Block L,13,13,2025-07-01,morning,6.5,28.1,6.73,6.0,5.0,0.97,
Block L,Block L,13,13,2025-07-02,afternoon,6.93,29.1,,,,,
Block L,Block L,13,13,2025-07-02,morning,6.24,28.2,,,,,
Block L,Block L,13,13,2025-07-03,morning,7.28,27.1,,,,,
Block L,Block L,13,13,2025-07-04,afternoon,6.46,28.7,,,,,
Block L,Block L,13,13,2025-07-04,morning,6.92,26.9,6.91,0.93,1.4,0.148,
Block L,Block L,13,13,2025-07-07,morning,,,6.7,2.0,3.9,0.8,
Block L,Block L,13,13,2025-07-08,afternoon,6.68,28.6,,,,,
Block L,Block L,13,13,2025-07-10,afternoon,7.09,28.1,,,,,
Block L,Block L,13,13,2025-07-10,morning,7.34,28.0,,,,,
Block L,Block L,13,13,2025-07-11,afternoon,6.28,31.3,,,,,
Block L,Block L,13,13,2025-07-11,morning,4.68,30.2,6.68,4.63,4.9,0.112,
Block L,Block L,13,13,2025-07-15,afternoon,6.19,29.1,,,,,
Block L,Block L,13,13,2025-07-15,morning,6.17,28.1,,,,,
Block L,Block L,13,13,2025-07-16,afternoon,5.824,29.1,,,,,
Block L,Block L,13,13,2025-07-17,afternoon,5.84,29.6,,,,,
Block L,Block L,13,13,2025-07-17,morning,6.05,28.6,,,,,
Block L,Block L,13,13,2025-07-18,afternoon,5.28,30.0,,,,,
Block L,Block L,13,13,2025-07-18,morning,5.73,28.5,,,,,
Block L,Block L,13,13,2025-07-21,afternoon,6.35,29.9,,,,,
Block L,Block L,13,13,2025-07-21,morning,6.69,28.2,,,,,
Block L,Block L,13,13,2025-07-22,afternoon,5.82,29.2,,,,,
Block L,Block L,13,13,2025-07-23,afternoon,5.66,31.2,,,,,
Block L,Block L,13,13,2025-07-23,morning,5.23,27.6,,,,,
Block L,Block L,13,13,2025-07-24,afternoon,8.55,30.0,,,,,
Block L,Block L,13,13,2025-07-24,morning,8.77,28.3,,,,,
Block L,Block L,13,13,2025-07-25,afternoon,8.84,30.5,,,,,
Block L,Block L,13,13,2025-07-28,afternoon,6.12,31.7,,,,,
Block L,Block L,13,13,2025-07-28,morning,6.86,28.5,,,,,
Block L,Block L,13,13,2025-07-29,afternoon,5.75,30.7,,,,,
Block L,Block L,13,13,2025-07-29,morning,5.93,29.4,,,,,
Block L,Block L,13,13,2025-07-30,afternoon,5.55,29.4,,,,,
Block L,Block L,14,14,2025-07-01,afternoon,6.27,29.0,,,,,
Block L,Block L,14,14,2025-07-01,morning,6.26,27.9,6.73,1.9,3.4,0.5,
Block L,Block L,14,14,2025-07-02,afternoon,6.59,30.5,,,,,
Block L,Block L,14,14,2025-07-02,morning,6.35,27.9,,,,,
Block L,Block L,14,14,2025-07-03,morning,6.93,27.6,,,,,
Block L,Block L,14,14,2025-07-04,afternoon,6.51,28.5,,,,,
Block L,Block L,14,14,2025-07-04,morning,6.86,27.2,6.95,0.61,1.0,0.086,
Block L,Block L,14,14,2025-07-08,afternoon,6.6,28.0,,,,,
Block L,Block L,14,14,2025-07-10,afternoon,7.17,27.7,,,,,
Block L,Block L,14,14,2025-07-10,morning,6.89,27.7,,,,,
Block L,Block L,14,14,2025-07-11,afternoon,6.33,30.7,,,,,
Block L,Block L,14,14,2025-07-11,morning,6.27,29.7,,,,,
Block L,Block L,14,14,2025-07-15,afternoon,5.67,28.8,,,,,
Block L,Block L,14,14,2025-07-15,morning,5.61,27.8,,,,,
Block L,Block L,14,14,2025-07-16,afternoon,5.64,28.7,,,,,
Block L,Block L,14,14,2025-07-17,afternoon,5.47,29.2,,,,,
Block L,Block L,14,14,2025-07-17,morning,5.17,28.1,,,,,
